ALUMNO;Anyo1;Conv1;TipoBach1;NotaBach1;Notaacceso1;MatCCSS1;MatII1;Anyo2;Conv2;TipoBach2;NotaBach2;Notaacceso2;MatCCSS2;MatII2;Anyo3;Conv3;TipoBach3;NotaBach3;Notaacceso3;MatCCSS3;MatII3;Anyo4;Conv4;TipoBach4;NotaBach4;Notaacceso4;MatCCSS4;MatII4;Anyo5;Conv5;TipoBach5;NotaBach5;Notaacceso5;MatCCSS5;MatII5;Anyo6;Conv6;TipoBach6;NotaBach6;Notaacceso6;MatCCSS6;MatII6
209;2011-12;JUN;GRHC;6,47;5,782;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210;2011-12;JUN;GRHC;6,12;5,397;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;2011-12;JUN;GRHC;6,47;5,857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;2011-12;JUN;GRCT;6,82;6,517;;5,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;2011-12;JUN;GRHC;5,59;5,017;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;2011-12;JUN;GRHC;6,59;6,229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;2011-12;JUN;GRCT;5,65;5,615;;6,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;2011-12;JUN;GRHC;6,53;5,818;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;2011-12;JUN;GRHC;5,47;5,432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;2011-12;JUN;GRHC;7,59;6,579;1,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;2011-12;JUN;GRHC;5,88;5,303;4,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
220;2011-12;JUN;GRHC;6,82;5,767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;2011-12;JUN;GRCT;6;6,05;;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;2011-12;JUN;GRCT;6,06;5,636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;2011-12;JUN;GRCT;9,24;8,619;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;2011-12;JUN;GRHC;6,29;5,649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;2011-12;JUN;GRHC;7,53;6,968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;2011-12;JUN;GRHC;6,47;5,832;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;2011-12;JUN;GRCT;6,12;5,922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;2011-12;JUN;A01;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;2011-12;JUN;GRHC;6,71;6,826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;2011-12;JUN;GRCT;6,82;6,392;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;2011-12;JUN;GRCT;6,82;6,042;;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
232;2011-12;JUN;GRHC;5,59;5,104;6,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;2011-12;JUN;GRHC;7,44;6,389;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
234;2011-12;JUN;GRHC;5,88;5,628;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;2011-12;JUN;GRCT;6,94;6,589;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;2011-12;JUN;GRHC;6,24;5,994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
237;2011-12;JUN;GRHC;7,24;6,944;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
238;2011-12;JUN;GRHC;6,18;5,333;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
239;2011-12;JUN;GRHC;6,47;6,232;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240;2011-12;JUN;GRCT;6,47;6,082;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;2011-12;JUN;GRAP;6,18;6,233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242;2011-12;JUN;GRHC;6;6,125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;2011-12;JUN;GRHC;5,59;5,029;4,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
244;2011-12;JUN;GRHC;8,29;7,099;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
245;2011-12;JUN;GRHC;6,47;6,032;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246;2011-12;JUN;GRHC;6,47;5,607;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;2011-12;JUN;GRCT;7,71;6,776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248;2011-12;JUN;GRHC;6,06;6,286;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249;2011-12;JUN;GRHC;6,18;5,933;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250;2011-12;JUN;GRCT;5,94;5,664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;2011-12;JUN;GRCT;8,82;8,892;;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;2011-12;JUN;GRHC;8,53;7,718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;2011-12;JUN;GRHC;6,53;6,593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;2011-12;JUN;GRHC;7,82;7,167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
255;2011-12;JUN;S01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;2011-12;JUN;GRHC;6,76;5,956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;2011-12;JUN;U01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;2011-12;JUN;GRCT;6,47;5,882;;4,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;2011-12;JUN;GRHC;6,65;6,265;2,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260;2011-12;JUN;GRAE;6,18;6,283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
261;2011-12;JUN;GRHC;6;6,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
262;2011-12;SEP;GRHC;5,47;5,507;;;2012-13;JUN;GRHC;5,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
263;2011-12;SEP;GRCT;6,24;6,044;;;2012-13;JUN;GRCT;6,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
264;2011-12;SEP;GRHC;5,59;5,704;;;2012-13;JUN;GRHC;5,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;2011-12;SEP;GRHC;5,65;5,315;;;2012-13;JUN;GRHC;5,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;2011-12;SEP;GRHC;5,59;4,979;5;;2012-13;JUN;GRHC;5,59;5,154;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;2011-12;SEP;GRCT;5,94;5,239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268;2011-12;SEP;GRHC;6,25;6,325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
269;2011-12;SEP;GRHC;5,81;5,211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
270;2012-13;JUN;GRHC;6,59;5,704;1;;2012-13;SEP;GRHC;6,59;5,979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
271;2012-13;JUN;GRHC;7,65;7,29;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;2012-13;JUN;GRCT;5,88;5,528;5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;2012-13;JUN;GRHC;8,24;8,044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;2012-13;JUN;GRHC;5,88;5,928;8,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
275;2012-13;JUN;GRHC;5,82;5,992;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
276;2012-13;JUN;GRCT;5,94;5,439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
277;2012-13;JUN;GRHC;8,65;8,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
278;2012-13;JUN;GRCT;6,76;6,406;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
279;2012-13;JUN;GRHC;5,65;5,165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;2012-13;JUN;GRHC;7;6,55;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281;2012-13;JUN;GRHC;6,41;5,571;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
282;2012-13;JUN;GRCT;6,59;5,729;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
283;2012-13;JUN;GRHC;5,82;5,092;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;2012-13;JUN;GRHC;7;7,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
285;2012-13;JUN;GRHC;6,65;6,44;7,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;2012-13;JUN;GRHC;7,24;6,269;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
287;2012-13;JUN;GRHC;8,71;7,326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;2012-13;JUN;GRCT;8,47;8,207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
289;2012-13;JUN;GRHC;8;6,85;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;2012-13;JUN;GRCT;6,59;6,329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
291;2012-13;JUN;GRHC;7,35;7,01;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;2012-13;JUN;GRCT;7,06;6,186;;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
293;2012-13;JUN;GRCT;5,94;5,789;6;3,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294;2012-13;JUN;GRHC;5,65;5,665;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;2012-13;JUN;GRHC;8,29;7,774;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;2012-13;JUN;GRCT;5,88;5,553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;2012-13;JUN;GRHC;6,24;5,819;7,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
298;2012-13;JUN;GRHC;6,24;6,144;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;2012-13;JUN;GRCT;7,18;6,658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
300;2012-13;JUN;GRHC;6,71;6,851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;2012-13;JUN;GRCT;7,29;6,999;;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;2012-13;JUN;GRCT;7;6,6;;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;2012-13;JUN;GRCT;6,82;7,017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;2012-13;JUN;GRHC;7;6,25;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;2012-13;JUN;GRHC;6,82;6,367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;2012-13;JUN;GRHC;8;6,8;3,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;2012-13;JUN;GRHC;6;5,625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;2012-13;JUN;GRHC;6;5,275;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;2012-13;JUN;GRHC;6,35;5,485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;2012-13;JUN;GRCT;5,65;6,015;;7,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;2012-13;JUN;GRHC;6,94;6,414;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;2012-13;JUN;GRCT;6,76;6,331;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;2012-13;JUN;GRHC;8,35;7,585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;2012-13;JUN;GRHC;6,53;6,418;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;2012-13;JUN;GRHC;6,41;5,596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;2012-13;SEP;GRCT;5,71;5,076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;2012-13;SEP;GRHC;5,53;5,393;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
