"","StudentId","Date","TipoBach","GradeBach","GradeAccess","GradeSocMath","GradeMath"
"274",229,1206,"GRHC",6.71,6.826,NA,NA
"275",230,1206,"GRCT",6.82,6.392,NA,5
"276",231,1206,"GRCT",6.82,6.042,NA,5.25
"277",232,1206,"GRHC",5.59,5.104,6.25,NA
"278",233,1206,"GRHC",7.44,6.389,3,NA
"279",234,1206,"GRHC",5.88,5.628,3.5,NA
"280",235,1206,"GRCT",6.94,6.589,NA,3.5
"281",236,1206,"GRHC",6.24,5.994,NA,NA
"282",237,1206,"GRHC",7.24,6.944,5,NA
"283",238,1206,"GRHC",6.18,5.333,5,NA
"284",239,1206,"GRHC",6.47,6.232,4,NA
"285",240,1206,"GRCT",6.47,6.082,NA,5
"286",241,1206,"GRAP",6.18,6.233,NA,NA
"287",242,1206,"GRHC",6,6.125,NA,NA
"288",243,1206,"GRHC",5.59,5.029,4.75,NA
"289",244,1206,"GRHC",8.29,7.099,5,NA
"290",245,1206,"GRHC",6.47,6.032,2.75,NA
"291",246,1206,"GRHC",6.47,5.607,0.25,NA
"292",247,1206,"GRCT",7.71,6.776,NA,NA
"293",248,1206,"GRHC",6.06,6.286,6.5,NA
"294",249,1206,"GRHC",6.18,5.933,1,NA
"295",250,1206,"GRCT",5.94,5.664,NA,NA
"296",251,1206,"GRCT",8.82,8.892,NA,7.5
"297",252,1206,"GRHC",8.53,7.718,NA,NA
"298",253,1206,"GRHC",6.53,6.593,NA,NA
"299",254,1206,"GRHC",7.82,7.167,NA,NA
"300",255,1206,"S01",NA,NA,NA,NA
"301",256,1206,"GRHC",6.76,5.956,NA,NA
"302",257,1206,"U01",NA,NA,NA,NA
"303",258,1206,"GRCT",6.47,5.882,NA,4.25
"304",259,1206,"GRHC",6.65,6.265,2.75,NA
"305",260,1206,"GRAE",6.18,6.283,NA,NA
"306",261,1206,"GRHC",6,6.05,NA,NA
"307",262,1306,"GRHC",5.47,NA,NA,NA
"308",262,1209,"GRHC",5.47,5.507,NA,NA
"309",263,1306,"GRCT",6.24,NA,NA,NA
"310",263,1209,"GRCT",6.24,6.044,NA,NA
"311",264,1306,"GRHC",5.59,NA,NA,NA
"312",264,1209,"GRHC",5.59,5.704,NA,NA
"313",265,1306,"GRHC",5.65,NA,NA,NA
"314",265,1209,"GRHC",5.65,5.315,NA,NA
"315",266,1306,"GRHC",5.59,5.154,6.5,NA
"316",266,1209,"GRHC",5.59,4.979,5,NA
"317",267,1209,"GRCT",5.94,5.239,NA,NA
"318",268,1209,"GRHC",6.25,6.325,NA,NA
"319",269,1209,"GRHC",5.81,5.211,NA,NA
"320",270,1309,"GRHC",6.59,5.979,NA,NA
"321",270,1306,"GRHC",6.59,5.704,1,NA
"322",271,1306,"GRHC",7.65,7.29,9,NA
"323",272,1306,"GRCT",5.88,5.528,5,4
"324",273,1306,"GRHC",8.24,8.044,NA,NA
"325",274,1306,"GRHC",5.88,5.928,8.25,NA
"326",275,1306,"GRHC",5.82,5.992,8,NA
"327",276,1306,"GRCT",5.94,5.439,NA,NA
"328",277,1306,"GRHC",8.65,8.19,NA,NA
"329",278,1306,"GRCT",6.76,6.406,NA,3.5
"330",279,1306,"GRHC",5.65,5.165,NA,NA
"331",280,1306,"GRHC",7,6.55,6,NA
"332",281,1306,"GRHC",6.41,5.571,7,NA
"333",282,1306,"GRCT",6.59,5.729,NA,6.5
"334",283,1306,"GRHC",5.82,5.092,0,NA
"335",284,1306,"GRHC",7,7.05,NA,NA
"336",285,1306,"GRHC",6.65,6.44,7.75,NA
"337",286,1306,"GRHC",7.24,6.269,6.5,NA
"338",287,1306,"GRHC",8.71,7.326,NA,NA
"339",288,1306,"GRCT",8.47,8.207,NA,NA
"340",289,1306,"GRHC",8,6.85,7.5,NA
"341",290,1306,"GRCT",6.59,6.329,NA,NA
"342",291,1306,"GRHC",7.35,7.01,6.5,NA
"343",292,1306,"GRCT",7.06,6.186,NA,3.5
"344",293,1306,"GRCT",5.94,5.789,6,3.75
"345",294,1306,"GRHC",5.65,5.665,8.75,NA
"346",295,1306,"GRHC",8.29,7.774,7.5,NA
"347",296,1306,"GRCT",5.88,5.553,NA,NA
"348",297,1306,"GRHC",6.24,5.819,7.75,NA
"349",298,1306,"GRHC",6.24,6.144,2.5,NA
"350",299,1306,"GRCT",7.18,6.658,NA,NA
"351",300,1306,"GRHC",6.71,6.851,NA,NA
"352",301,1306,"GRCT",7.29,6.999,NA,5.25
"353",302,1306,"GRCT",7,6.6,NA,5.5
"354",303,1306,"GRCT",6.82,7.017,NA,NA
"355",304,1306,"GRHC",7,6.25,7,NA
"356",305,1306,"GRHC",6.82,6.367,NA,NA
"357",306,1306,"GRHC",8,6.8,3.75,NA
"358",307,1306,"GRHC",6,5.625,NA,NA
"359",308,1306,"GRHC",6,5.275,7.25,NA
"360",309,1306,"GRHC",6.35,5.485,NA,NA
"361",310,1306,"GRCT",5.65,6.015,NA,7.25
"362",311,1306,"GRHC",6.94,6.414,8.5,NA
"363",312,1306,"GRCT",6.76,6.331,NA,2
"364",313,1306,"GRHC",8.35,7.585,NA,NA
"365",314,1306,"GRHC",6.53,6.418,5.25,NA
"366",315,1306,"GRHC",6.41,5.596,NA,NA
"367",316,1309,"GRCT",5.71,5.076,NA,NA
"368",317,1309,"GRHC",5.53,5.393,5,NA
